,carat,cut,color,clarity,depth,table,price,x,y,z
1113,0.77,Very Good,3,3,63.6,57.0,2915,5.79,0.77,0.77
1114,0.8,Very Good,3,2,62.0,55.0,2915,5.94,0.8,0.8
1115,0.71,Ideal,4,4,62.2,56.0,2915,5.74,0.71,0.71
1116,0.73,Very Good,2,5,60.8,57.0,2916,5.8,0.73,0.73
1117,0.93,Ideal,1,3,62.0,57.0,2917,6.22,0.93,0.93
1118,0.74,Premium,4,5,62.5,60.0,2917,5.78,0.74,0.74
1119,0.7,Ideal,5,4,62.5,58.0,2917,5.63,0.7,0.7
1120,0.71,Ideal,4,4,61.2,56.0,2917,5.77,0.71,0.71
1121,0.71,Very Good,4,4,59.5,58.0,2918,5.82,0.71,0.71
1122,0.8,Very Good,2,4,61.2,53.0,2918,5.98,0.8,0.8
1123,0.71,Ideal,2,7,62.1,54.0,2918,5.7,0.71,0.71
1124,0.72,Ideal,1,4,61.8,55.0,2918,5.75,0.72,0.72
1125,0.83,Very Good,6,2,63.1,57.0,2918,5.95,0.83,0.83
1126,0.72,Very Good,3,5,60.5,57.0,2919,5.8,0.72,0.72
1127,0.8,Very Good,2,3,62.5,56.0,2919,5.92,0.8,0.8
1128,0.73,Premium,3,6,62.2,56.0,2919,5.79,0.73,0.73
1129,0.7,Good,4,5,63.8,58.0,2919,5.61,0.7,0.7
1130,0.73,Ideal,2,5,61.9,55.0,2919,5.79,0.73,0.73
1131,0.73,Ideal,3,6,61.9,55.0,2919,5.83,0.73,0.73
1132,0.71,Premium,5,5,59.7,57.0,2920,5.87,0.71,0.71
1133,0.72,Ideal,4,3,61.0,55.0,2920,5.78,0.72,0.72
1134,0.71,Premium,4,5,59.1,59.0,2920,5.88,0.71,0.71
1135,0.71,Ideal,4,5,62.6,55.0,2920,5.71,0.71,0.71
1136,0.74,Very Good,2,6,60.5,60.0,2921,5.79,0.74,0.74
1137,0.71,Very Good,5,4,59.9,59.0,2921,5.77,0.71,0.71
1138,0.71,Very Good,5,4,60.7,60.0,2921,5.75,0.71,0.71
1139,0.71,Very Good,6,3,60.1,60.0,2921,5.76,0.71,0.71
1140,0.65,Ideal,4,6,61.3,56.0,2921,5.58,0.65,0.65
1141,0.9,Fair,1,4,64.1,66.0,2921,6.04,0.9,0.9
1142,0.71,Very Good,5,4,63.7,58.0,2922,5.6,0.71,0.71
1143,0.71,Very Good,5,4,63.3,59.0,2922,5.62,0.71,0.71
1144,0.68,Very Good,4,5,59.7,57.0,2922,5.79,0.68,0.68
1145,0.53,Ideal,4,7,61.6,56.0,2922,5.24,0.53,0.53
1146,0.77,Ideal,6,2,60.6,56.0,2922,5.95,0.77,0.77
1147,0.72,Very Good,5,4,63.0,57.0,2923,5.69,0.72,0.72
1148,0.72,Very Good,5,4,63.2,58.0,2923,5.67,0.72,0.72
1149,0.7,Very Good,5,3,61.8,59.0,2923,5.63,0.7,0.7
1150,0.75,Very Good,5,3,62.3,58.0,2923,5.78,0.75,0.75
1151,0.75,Very Good,5,3,61.5,58.0,2923,5.82,0.75,0.75
1152,0.87,Ideal,2,3,62.5,57.0,2923,6.13,0.87,0.87
1153,0.71,Ideal,5,5,62.4,54.0,2923,5.71,0.71,0.71
1154,0.77,Ideal,6,2,60.2,56.0,2923,5.98,0.77,0.77
1155,0.78,Ideal,4,3,61.1,56.0,2923,5.94,0.78,0.78
1156,0.75,Good,5,3,58.3,60.0,2923,5.94,0.75,0.75
1157,0.9,Premium,1,4,58.7,60.0,2923,6.35,0.9,0.9
1158,0.7,Ideal,1,5,61.5,56.0,2924,5.71,0.7,0.7
1159,0.8,Very Good,6,3,58.2,63.0,2925,6.07,0.8,0.8
1160,0.7,Very Good,4,5,64.5,58.0,2925,5.55,0.7,0.7
1161,0.51,Very Good,5,8,63.3,58.0,2925,5.03,0.51,0.51
1162,0.71,Ideal,1,8,61.5,56.0,2925,5.74,0.71,0.71
1163,1.02,Ideal,1,1,61.7,56.0,2925,6.49,1.02,1.02
1164,1.2,Premium,1,1,60.5,58.0,2925,6.9,1.2,1.2
1165,0.81,Good,6,2,63.6,55.0,2926,5.91,0.81,0.81
1166,0.81,Premium,4,3,61.2,56.0,2926,6.03,0.81,0.81
1167,0.81,Premium,4,3,61.3,60.0,2926,6.0,0.81,0.81
1168,0.77,Very Good,2,5,63.3,57.0,2927,5.79,0.77,0.77
1169,0.8,Ideal,1,3,59.4,58.0,2927,6.07,0.8,0.8
1170,0.9,Premium,2,2,59.5,60.0,2927,6.32,0.9,0.9
1171,0.7,Very Good,4,4,61.3,54.0,2928,5.72,0.7,0.7
1172,0.7,Very Good,6,4,60.8,59.0,2928,5.67,0.7,0.7
1173,0.74,Very Good,5,3,61.0,58.0,2929,5.82,0.74,0.74
1174,0.8,Very Good,3,4,61.1,57.0,2929,6.01,0.8,0.8
1175,0.7,Ideal,3,4,61.8,57.0,2929,5.68,0.7,0.7
1176,0.7,Ideal,5,3,60.1,57.0,2929,5.78,0.7,0.7
1177,0.71,Very Good,5,4,61.3,60.0,2930,5.74,0.71,0.71
1178,0.7,Premium,5,5,60.3,58.0,2930,5.7,0.7,0.7
1179,0.7,Ideal,5,5,62.3,54.0,2930,5.67,0.7,0.7
1180,0.71,Ideal,4,4,62.3,57.0,2930,5.69,0.71,0.71
1181,0.71,Ideal,3,5,62.7,57.0,2930,5.69,0.71,0.71
1182,0.71,Ideal,3,5,62.6,57.0,2930,5.67,0.71,0.71
1183,0.9,Very Good,5,2,58.7,63.0,2930,6.23,0.9,0.9
1184,0.9,Fair,5,2,65.0,58.0,2930,6.08,0.9,0.9
1185,0.71,Ideal,3,7,61.7,57.0,2930,5.75,0.71,0.71
1186,0.7,Very Good,3,6,60.8,57.0,2931,5.72,0.7,0.7
1187,0.72,Very Good,4,4,63.3,57.0,2931,5.69,0.72,0.72
1188,0.72,Ideal,4,4,61.8,59.0,2931,5.71,0.72,0.72
1189,0.7,Premium,3,7,62.0,61.0,2932,5.71,0.7,0.7
1190,0.7,Premium,4,6,61.0,57.0,2932,5.8,0.7,0.7
1191,0.7,Very Good,4,6,63.2,58.0,2932,5.66,0.7,0.7
1192,0.72,Very Good,3,6,62.2,57.0,2933,5.67,0.72,0.72
1193,0.59,Very Good,6,6,60.6,59.0,2933,5.44,0.59,0.59
1194,0.73,Premium,4,4,59.9,58.0,2933,5.84,0.73,0.73
1195,0.75,Ideal,4,4,62.3,57.0,2933,5.81,0.75,0.75
1196,0.75,Good,6,2,57.6,56.0,2933,5.98,0.75,0.75
1197,0.9,Good,2,2,62.7,64.0,2934,6.0,0.9,0.9
1198,0.71,Ideal,6,2,62.0,54.0,2934,5.77,0.71,0.71
1199,0.91,Premium,2,3,60.2,52.0,2935,6.27,0.91,0.91
1200,1.17,Fair,1,1,65.4,62.0,2935,6.68,1.17,1.17
1201,0.8,Premium,2,5,62.0,60.0,2935,5.92,0.8,0.8
1202,0.7,Very Good,3,6,61.8,60.0,2936,5.63,0.7,0.7
1203,0.81,Very Good,2,3,60.2,58.0,2936,6.06,0.81,0.81
1204,0.74,Ideal,4,4,60.5,59.0,2936,5.81,0.74,0.74
1205,0.7,Ideal,6,2,62.6,54.0,2936,5.69,0.7,0.7
1206,0.82,Ideal,5,2,62.1,56.0,2937,6.01,0.82,0.82
1207,0.76,Premium,5,3,58.3,62.0,2937,6.12,0.76,0.76
1208,0.76,Premium,3,5,59.6,57.0,2937,6.01,0.76,0.76
1209,0.95,Premium,3,2,58.8,60.0,2937,6.35,0.95,0.95
1210,0.71,Very Good,2,7,62.7,57.0,2938,5.66,0.71,0.71
1211,0.71,Very Good,2,7,62.7,59.0,2938,5.65,0.71,0.71
1212,0.81,Ideal,5,2,60.2,57.0,2938,6.1,0.81,0.81
1213,0.73,Very Good,4,4,62.7,58.0,2939,5.73,0.73,0.73
1214,0.73,Very Good,3,5,60.7,57.0,2939,5.76,0.73,0.73
1215,0.83,Very Good,4,2,61.9,56.0,2939,5.99,0.83,0.83
1216,0.77,Premium,6,3,59.5,60.0,2939,6.01,0.77,0.77
1217,0.8,Ideal,5,2,60.8,56.0,2939,6.02,0.8,0.8
1218,0.73,Ideal,4,4,62.7,58.0,2939,5.72,0.73,0.73
1219,0.72,Ideal,5,2,62.4,57.0,2939,5.71,0.72,0.72
1220,0.75,Ideal,3,4,60.6,55.0,2939,5.93,0.75,0.75
1221,0.8,Premium,5,2,59.9,58.0,2939,6.03,0.8,0.8
1222,0.81,Ideal,1,4,61.8,56.0,2939,6.02,0.81,0.81
1223,0.82,Premium,2,4,62.6,59.0,2939,5.99,0.82,0.82
1224,0.7,Good,4,6,63.1,57.0,2940,5.59,0.7,0.7
1225,1.24,Very Good,0,1,61.9,55.0,2940,6.85,1.24,1.24
1226,0.7,Very Good,4,6,62.6,59.0,2940,5.6,0.7,0.7
1227,0.7,Ideal,4,5,61.2,54.0,2940,5.92,0.7,0.7
1228,0.75,Fair,5,4,56.0,67.0,2940,6.18,0.75,0.75
1229,1.0,Good,2,1,57.6,61.0,2940,6.67,1.0,1.0
1230,0.75,Ideal,5,4,61.6,57.0,2940,5.84,0.75,0.75
1231,0.7,Ideal,5,4,61.5,56.0,2940,5.73,0.7,0.7
1232,0.79,Very Good,5,2,59.2,59.0,2941,6.04,0.79,0.79
1233,0.8,Good,4,3,63.8,59.0,2941,5.83,0.8,0.8
1234,0.81,Very Good,4,2,62.7,58.0,2942,5.92,0.81,0.81
1235,0.71,Premium,4,5,61.1,58.0,2942,5.76,0.71,0.71
1236,1.03,Fair,3,2,65.7,59.0,2942,6.3,1.03,1.03
1237,0.7,Ideal,4,4,60.8,56.0,2942,5.78,0.7,0.7
1238,0.76,Premium,6,3,61.6,59.0,2942,5.84,0.76,0.76
1239,1.01,Fair,3,2,67.1,59.0,2942,6.27,1.01,1.01
1240,0.73,Ideal,6,3,61.4,56.0,2943,5.82,0.73,0.73
1241,0.72,Ideal,4,4,62.0,56.0,2943,5.77,0.72,0.72
1242,0.74,Very Good,2,6,61.3,58.0,2944,5.8,0.74,0.74
1243,0.79,Ideal,3,3,61.6,55.0,2944,5.96,0.79,0.79
1244,0.57,Very Good,6,7,60.4,57.0,2945,5.39,0.57,0.57
1245,0.79,Very Good,2,4,61.5,55.0,2945,5.89,0.79,0.79
1246,0.78,Very Good,6,3,62.4,58.0,2945,5.86,0.78,0.78
1247,0.85,Good,3,3,64.9,56.0,2945,5.95,0.85,0.85
1248,0.71,Very Good,5,5,63.3,59.0,2946,5.64,0.71,0.71
1249,0.71,Very Good,5,5,62.7,57.0,2946,5.69,0.71,0.71
1250,0.72,Ideal,2,7,62.2,56.0,2946,5.72,0.72,0.72
1251,0.72,Ideal,2,7,62.5,57.0,2946,5.7,0.72,0.72
1252,0.77,Ideal,1,3,61.5,56.0,2946,5.9,0.77,0.77
1253,0.79,Ideal,5,3,62.3,55.0,2946,5.9,0.79,0.79
1254,0.78,Very Good,2,5,61.7,56.0,2947,5.92,0.78,0.78
1255,0.76,Ideal,5,5,62.1,57.0,2947,5.82,0.76,0.76
1256,0.92,Ideal,2,2,58.5,57.0,2947,6.37,0.92,0.92
1257,0.73,Premium,6,4,60.9,59.0,2947,5.82,0.73,0.73
1258,0.7,Ideal,2,7,61.2,57.0,2947,5.69,0.7,0.7
1259,0.7,Ideal,2,7,60.5,58.0,2947,5.76,0.7,0.7
1260,0.74,Ideal,1,5,62.0,56.0,2947,5.79,0.74,0.74
1261,0.74,Ideal,1,5,61.1,57.0,2947,5.83,0.74,0.74
1262,0.73,Ideal,6,3,61.2,57.0,2947,5.79,0.73,0.73
1263,0.82,Good,2,4,62.4,54.0,2947,5.97,0.82,0.82
1264,0.9,Premium,1,3,60.9,56.0,2947,6.26,0.9,0.9
1265,0.73,Ideal,3,5,61.7,55.0,2948,5.8,0.73,0.73
1266,0.7,Ideal,5,3,62.0,56.0,2948,5.68,0.7,0.7
1267,0.9,Premium,1,2,62.5,58.0,2948,6.15,0.9,0.9
1268,0.9,Fair,1,2,66.4,60.0,2948,5.92,0.9,0.9
1269,0.9,Premium,1,2,60.6,60.0,2948,6.28,0.9,0.9
1270,0.9,Ideal,1,2,62.0,56.0,2948,6.2,0.9,0.9
1271,1.0,Fair,5,2,65.8,58.0,2948,6.28,1.0,1.0
1272,0.72,Very Good,5,4,63.0,56.0,2949,5.66,0.72,0.72
1273,0.76,Ideal,5,3,61.7,57.0,2949,5.84,0.76,0.76
1274,0.77,Ideal,6,3,62.6,57.0,2949,5.81,0.77,0.77
1275,0.72,Ideal,2,5,62.3,55.0,2949,5.72,0.72,0.72
1276,0.99,Fair,0,3,58.0,67.0,2949,6.57,0.99,0.99
1277,0.81,Very Good,1,5,62.7,58.0,2950,5.9,0.81,0.81
1278,0.71,Ideal,3,5,62.4,57.0,2950,5.68,0.71,0.71
1279,0.71,Premium,6,4,62.1,60.0,2950,5.72,0.71,0.71
1280,0.54,Ideal,4,7,61.6,55.0,2951,5.27,0.54,0.54
1281,0.72,Very Good,6,5,62.7,58.0,2951,5.65,0.72,0.72
1282,0.81,Ideal,2,3,62.3,58.0,2951,5.95,0.81,0.81
1283,0.73,Ideal,4,3,61.6,55.0,2951,5.77,0.73,0.73
1284,0.72,Ideal,5,3,61.0,56.0,2951,5.84,0.72,0.72
1285,0.7,Very Good,5,4,62.4,58.0,2952,5.66,0.7,0.7
1286,0.7,Very Good,5,4,63.4,59.0,2952,5.63,0.7,0.7
1287,0.7,Very Good,5,4,61.8,59.0,2952,5.63,0.7,0.7
1288,0.7,Very Good,5,5,61.3,60.0,2952,5.68,0.7,0.7
1289,0.72,Ideal,3,4,61.5,55.0,2952,5.76,0.72,0.72
1290,0.72,Ideal,3,4,61.4,55.0,2952,5.76,0.72,0.72
1291,0.7,Ideal,5,4,61.9,58.0,2952,5.7,0.7,0.7
1292,0.7,Ideal,5,4,62.6,57.0,2952,5.63,0.7,0.7
1293,0.7,Ideal,5,4,62.1,55.0,2952,5.71,0.7,0.7
1294,0.74,Ideal,1,8,62.1,53.9,2952,5.79,0.74,0.74
1295,0.7,Good,5,5,61.0,61.0,2952,5.69,0.7,0.7
1296,0.8,Very Good,2,4,59.1,59.0,2953,6.02,0.8,0.8
1297,0.79,Premium,4,4,63.0,59.0,2953,5.84,0.79,0.79
1298,0.75,Good,4,5,64.4,59.0,2953,5.67,0.75,0.75
1299,0.71,Very Good,5,4,59.6,60.0,2954,5.8,0.71,0.71
1300,0.72,Ideal,6,3,61.9,55.0,2954,5.75,0.72,0.72
1301,0.72,Premium,5,4,61.1,59.0,2954,5.75,0.72,0.72
1302,0.72,Premium,6,3,61.4,59.0,2954,5.71,0.72,0.72
1303,0.75,Ideal,6,3,62.3,57.0,2954,5.8,0.75,0.75
1304,0.82,Very Good,6,3,63.1,58.0,2954,5.97,0.82,0.82
1305,0.76,Ideal,3,4,61.7,54.0,2954,5.88,0.76,0.76
1306,0.89,Premium,1,5,62.2,62.0,2955,6.14,0.89,0.89
1307,0.7,Very Good,4,4,62.4,57.0,2956,5.67,0.7,0.7
1308,0.74,Very Good,2,5,61.4,56.0,2956,5.81,0.74,0.74
1309,0.74,Very Good,2,5,62.3,56.0,2956,5.75,0.74,0.74
1310,0.95,Good,1,2,63.8,57.0,2956,6.13,0.95,0.95
1311,0.91,Very Good,0,3,62.8,59.0,2956,6.14,0.91,0.91
1312,0.7,Ideal,4,4,60.8,57.0,2956,5.75,0.7,0.7
1313,0.71,Good,4,6,58.2,60.0,2956,5.89,0.71,0.71
1314,0.7,Premium,6,5,60.4,58.0,2956,5.78,0.7,0.7
1315,0.72,Ideal,4,4,62.6,56.0,2956,5.75,0.72,0.72
1316,0.72,Ideal,4,4,62.2,56.0,2956,5.75,0.72,0.72
1317,0.72,Ideal,2,7,62.0,55.0,2958,5.74,0.72,0.72
1318,0.79,Ideal,1,5,62.2,57.0,2958,5.89,0.79,0.79
1319,0.72,Good,3,5,58.0,57.8,2958,5.85,0.72,0.72
1320,0.98,Fair,4,2,61.6,66.0,2958,6.46,0.98,0.98
1321,0.56,Very Good,6,7,60.1,58.0,2959,5.36,0.56,0.56
1322,0.7,Very Good,4,5,60.1,58.0,2959,5.73,0.7,0.7
1323,0.79,Premium,3,4,62.3,58.0,2959,5.92,0.79,0.79
1324,0.82,Ideal,1,3,61.8,55.0,2959,6.0,0.82,0.82
1325,0.74,Fair,3,6,65.2,58.0,2959,5.7,0.74,0.74
1326,0.71,Very Good,2,6,61.8,56.0,2960,5.7,0.71,0.71
1327,0.7,Very Good,6,4,63.0,56.0,2960,5.61,0.7,0.7
1328,0.7,Good,6,4,63.4,57.0,2960,5.6,0.7,0.7
1329,0.7,Ideal,6,4,61.3,57.0,2960,5.72,0.7,0.7
1330,0.76,Ideal,4,4,62.6,56.0,2960,5.82,0.76,0.76
1331,0.72,Ideal,3,4,61.3,56.0,2960,5.77,0.72,0.72
1332,0.64,Ideal,3,8,61.7,58.0,2960,5.52,0.64,0.64
1333,0.71,Good,4,6,58.9,61.0,2960,5.8,0.71,0.71
1334,0.74,Ideal,3,5,61.8,55.0,2960,5.85,0.74,0.74
1335,0.77,Very Good,2,5,62.8,58.0,2961,5.75,0.77,0.77
1336,0.74,Ideal,2,6,61.2,57.0,2961,5.79,0.74,0.74
1337,0.72,Premium,5,5,61.5,60.0,2961,5.79,0.72,0.72
1338,0.73,Premium,4,5,61.9,56.0,2961,5.81,0.73,0.73
1339,0.73,Premium,4,5,62.7,56.0,2961,5.75,0.73,0.73
1340,0.63,Ideal,4,6,62.3,56.0,2961,5.48,0.63,0.63
1341,0.72,Ideal,2,5,61.1,57.0,2961,5.8,0.72,0.72
1342,0.76,Ideal,5,3,60.6,57.0,2961,5.91,0.76,0.76
1343,0.71,Premium,4,5,62.1,53.0,2961,5.77,0.71,0.71
1344,0.75,Premium,2,5,61.9,61.0,2961,5.85,0.75,0.75
1345,0.96,Premium,5,2,60.4,56.0,2961,6.32,0.96,0.96
1346,0.63,Ideal,6,6,62.6,56.0,2962,5.47,0.63,0.63
1347,0.72,Ideal,5,4,62.0,56.0,2962,5.73,0.72,0.72
1348,0.71,Ideal,3,5,62.2,56.0,2962,5.69,0.71,0.71
1349,0.82,Premium,4,3,62.4,56.0,2962,6.01,0.82,0.82
1350,0.71,Ideal,5,5,62.1,53.0,2963,5.76,0.71,0.71
1351,0.91,Very Good,5,2,58.6,63.0,2963,6.38,0.91,0.91
1352,0.71,Very Good,5,4,62.9,57.0,2964,5.68,0.71,0.71
1353,0.71,Very Good,5,3,62.9,55.0,2964,5.64,0.71,0.71
1354,0.71,Very Good,6,3,59.4,59.0,2964,5.78,0.71,0.71
1355,0.7,Good,5,5,63.6,58.0,2964,5.61,0.7,0.7
1356,0.7,Fair,5,5,64.5,57.0,2964,5.59,0.7,0.7
1357,0.75,Ideal,5,3,61.7,56.0,2964,5.84,0.75,0.75
1358,0.9,Fair,4,2,65.7,59.0,2964,6.03,0.9,0.9
1359,0.9,Good,4,2,64.2,62.0,2964,6.08,0.9,0.9
1360,0.9,Fair,0,5,65.4,60.0,2964,6.02,0.9,0.9
1361,0.9,Premium,0,5,62.1,62.0,2964,6.12,0.9,0.9
1362,1.0,Fair,3,3,65.7,54.0,2964,6.24,1.0,1.0
1363,1.5,Fair,2,1,65.6,54.0,2964,7.26,1.5,1.5
1364,1.05,Premium,5,1,61.4,58.0,2964,6.53,1.05,1.05
1365,0.9,Fair,0,5,64.6,58.0,2964,6.12,0.9,0.9
1366,0.71,Ideal,1,5,61.8,56.0,2965,5.68,0.71,0.71
1367,0.71,Ideal,1,5,61.6,56.0,2965,5.71,0.71,0.71
1368,0.71,Ideal,1,5,61.3,57.0,2965,5.73,0.71,0.71
1369,0.71,Ideal,1,5,61.5,56.0,2965,5.72,0.71,0.71
1370,0.7,Ideal,3,3,61.7,55.0,2965,5.7,0.7,0.7
1371,0.7,Ideal,3,3,60.9,56.0,2965,5.73,0.7,0.7
1372,0.73,Very Good,3,4,62.1,59.0,2966,5.68,0.73,0.73
1373,0.85,Very Good,5,2,63.1,58.0,2966,6.02,0.85,0.85
1374,0.7,Ideal,1,7,61.8,56.0,2966,5.69,0.7,0.7
1375,0.75,Ideal,4,3,61.2,55.0,2966,5.87,0.75,0.75
1376,0.82,Ideal,4,2,60.9,57.0,2966,6.06,0.82,0.82
1377,0.7,Very Good,5,5,61.3,56.0,2967,5.68,0.7,0.7
1378,0.7,Very Good,5,5,61.5,56.0,2967,5.69,0.7,0.7
1379,0.86,Very Good,3,2,62.6,56.0,2967,6.01,0.86,0.86
1380,0.79,Ideal,2,4,62.0,56.0,2967,5.91,0.79,0.79
1381,0.31,Premium,5,2,60.8,61.0,558,4.43,0.31,0.31
1382,0.31,Premium,5,2,61.2,61.0,558,4.37,0.31,0.31
1383,0.31,Ideal,3,2,61.4,55.0,558,4.39,0.31,0.31
1384,0.3,Very Good,2,6,62.0,56.0,559,4.28,0.3,0.3
1385,0.31,Very Good,3,4,62.6,56.0,559,4.33,0.31,0.31
1386,0.31,Very Good,3,4,61.4,55.0,559,4.38,0.31,0.31
1387,0.31,Very Good,3,4,60.9,57.0,559,4.37,0.31,0.31
1388,0.24,Ideal,3,7,62.4,56.0,559,3.97,0.24,0.24
1389,0.24,Ideal,3,7,62.1,56.0,559,3.97,0.24,0.24
1390,0.24,Ideal,3,7,62.2,56.0,559,4.0,0.24,0.24
1391,0.24,Ideal,3,7,62.0,55.0,559,4.01,0.24,0.24
1392,0.24,Ideal,3,7,62.0,56.0,559,3.97,0.24,0.24
1393,0.32,Ideal,5,3,61.9,55.0,559,4.4,0.32,0.32
1394,0.32,Ideal,5,3,61.0,56.0,559,4.41,0.32,0.32
1395,0.24,Ideal,3,8,61.7,56.0,559,3.99,0.24,0.24
1396,0.24,Ideal,3,8,60.8,58.0,559,4.01,0.24,0.24
1397,0.24,Ideal,3,8,61.8,55.0,559,3.99,0.24,0.24
1398,0.24,Ideal,3,8,61.6,57.0,559,3.99,0.24,0.24
1399,0.24,Ideal,3,8,61.3,57.0,559,4.0,0.24,0.24
1400,0.32,Ideal,3,5,62.3,55.0,559,4.39,0.32,0.32
1401,0.32,Ideal,3,5,61.8,55.0,559,4.42,0.32,0.32
1402,0.25,Very Good,5,6,62.0,56.0,560,4.05,0.25,0.25
1403,0.25,Very Good,5,7,61.5,56.0,560,4.06,0.25,0.25
1404,0.25,Very Good,4,8,61.5,56.0,560,4.04,0.25,0.25
1405,0.27,Very Good,4,8,60.4,58.0,560,4.18,0.27,0.27
1406,0.32,Ideal,3,4,61.6,54.0,560,4.4,0.32,0.32
1407,0.36,Ideal,4,3,61.6,56.0,560,4.57,0.36,0.36
1408,0.41,Ideal,1,3,61.7,55.0,561,4.77,0.41,0.41
1409,0.32,Premium,2,5,60.2,58.0,561,4.43,0.32,0.32
1410,0.32,Ideal,2,5,61.5,57.0,561,4.4,0.32,0.32
1411,0.75,Very Good,5,3,60.2,60.0,2968,5.89,0.75,0.75
1412,0.92,Premium,2,3,59.2,60.0,2968,6.4,0.92,0.92
1413,1.13,Fair,2,1,64.8,59.0,2968,6.52,1.13,1.13
1414,0.71,Premium,6,4,58.7,61.0,2968,5.88,0.71,0.71
1415,1.06,Premium,1,2,61.5,57.0,2968,6.57,1.06,1.06
1416,0.9,Ideal,3,2,62.4,57.0,2968,6.16,0.9,0.9
1417,0.8,Ideal,3,4,61.2,57.0,2969,6.02,0.8,0.8
1418,0.52,Premium,5,6,60.1,58.0,2970,5.23,0.52,0.52
1419,0.72,Very Good,3,5,60.6,56.0,2970,5.84,0.72,0.72
1420,0.7,Good,4,5,63.8,58.0,2970,5.58,0.7,0.7
1421,0.78,Premium,5,4,62.6,57.0,2970,5.91,0.78,0.78
1422,0.78,Ideal,2,4,61.6,56.0,2970,5.94,0.78,0.78
1423,1.04,Good,1,2,59.9,64.0,2970,6.51,1.04,1.04
1424,0.91,Fair,4,3,64.9,57.0,2971,6.13,0.91,0.91
1425,0.81,Very Good,5,3,63.8,58.0,2972,5.85,0.81,0.81
1426,0.76,Ideal,3,5,59.4,57.0,2972,5.99,0.76,0.76
1427,0.7,Ideal,3,5,61.7,56.0,2972,5.64,0.7,0.7
1428,0.9,Very Good,2,2,63.1,60.0,2972,6.14,0.9,0.9
1429,0.81,Premium,2,5,62.6,58.0,2972,5.96,0.81,0.81
1430,0.9,Very Good,0,2,63.3,59.0,2973,6.08,0.9,0.9
1431,0.75,Ideal,3,5,62.3,57.0,2973,5.83,0.75,0.75
1432,0.77,Ideal,6,2,60.6,56.0,2973,5.9,0.77,0.77
1433,0.7,Ideal,5,5,60.5,56.0,2973,5.74,0.7,0.7
1434,0.81,Very Good,5,3,59.5,60.0,2973,6.05,0.81,0.81
1435,0.7,Good,5,5,59.8,62.0,2973,5.74,0.7,0.7
1436,0.82,Ideal,4,3,62.6,57.0,2974,5.96,0.82,0.82
1437,0.57,Ideal,4,8,61.8,54.0,2974,5.33,0.57,0.57
1438,0.9,Good,2,3,64.2,60.0,2974,6.05,0.9,0.9
1439,1.0,Fair,6,2,69.3,58.0,2974,5.96,1.0,1.0
1440,0.71,Ideal,3,4,59.5,57.0,2974,5.81,0.71,0.71
1441,0.7,Very Good,4,5,62.1,57.0,2975,5.69,0.7,0.7
1442,0.7,Premium,4,6,62.2,58.0,2975,5.72,0.7,0.7
1443,0.82,Very Good,5,2,63.3,56.0,2975,5.99,0.82,0.82
1444,0.8,Ideal,4,3,62.8,54.0,2975,5.9,0.8,0.8
1445,0.83,Premium,3,3,61.6,59.0,2975,6.02,0.83,0.83
1446,0.83,Ideal,2,4,61.3,54.0,2975,6.1,0.83,0.83
1447,0.77,Premium,5,3,60.4,58.0,2975,6.0,0.77,0.77
1448,0.79,Ideal,4,3,62.5,57.0,2976,5.88,0.79,0.79
1449,0.72,Ideal,5,3,61.0,56.0,2976,5.82,0.72,0.72
1450,0.91,Ideal,1,2,63.0,54.0,2976,6.17,0.91,0.91
1451,0.71,Very Good,3,6,60.8,58.0,2977,5.75,0.71,0.71
1452,0.81,Ideal,4,3,61.9,57.0,2977,5.98,0.81,0.81
1453,0.76,Premium,6,4,60.9,58.0,2977,5.9,0.76,0.76
1454,0.54,Ideal,4,7,61.6,55.0,2977,5.28,0.54,0.54
1455,0.71,Ideal,3,6,62.5,58.0,2978,5.7,0.71,0.71
1456,0.7,Ideal,5,5,61.3,54.0,2978,5.77,0.7,0.7
1457,0.8,Ideal,5,2,61.0,55.0,2978,6.0,0.8,0.8
1458,0.76,Ideal,5,2,62.1,56.0,2978,5.85,0.76,0.76
1459,0.72,Ideal,2,7,59.9,59.0,2979,5.76,0.72,0.72
1460,0.7,Ideal,5,4,61.7,56.0,2979,5.74,0.7,0.7
1461,0.86,Premium,4,2,61.8,58.0,2980,6.12,0.86,0.86
1462,0.7,Ideal,5,4,61.5,57.0,2980,5.67,0.7,0.7
1463,0.7,Good,6,3,61.3,61.0,2980,5.63,0.7,0.7
1464,0.64,Good,4,8,58.6,61.0,2980,5.69,0.64,0.64
1465,0.7,Ideal,5,4,62.2,55.0,2981,5.67,0.7,0.7
1466,0.91,Premium,1,2,60.2,59.0,2981,6.29,0.91,0.91
1467,0.91,Ideal,1,2,61.6,57.0,2981,6.24,0.91,0.91
1468,0.9,Good,5,2,58.7,63.0,2982,6.2,0.9,0.9
1469,0.71,Ideal,3,7,61.7,57.0,2982,5.7,0.71,0.71
1470,0.9,Fair,5,2,65.8,59.0,2982,6.03,0.9,0.9
1471,0.71,Ideal,5,4,59.5,57.0,2982,5.86,0.71,0.71
1472,0.71,Very Good,3,5,60.8,63.0,2982,5.76,0.71,0.71
1473,0.71,Premium,5,4,62.6,58.0,2982,5.72,0.71,0.71
1474,0.74,Ideal,5,4,62.7,54.0,2984,5.8,0.74,0.74
